"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"__alignment_not_unique",100860184,108872376,125163199,168916355,148681660,30242900,28027489,43609247,36486062,49530246,43814602,105715045,40132176,13296208,23261471,41319131,57244624,23648682,42207222,80898549,48690568,61845233,96479620,88027048,122401434,133403086,95456866,79122691,126340666,72585770,109661388,103847376,52871789,66388533,73181063,46338578,37069025,47365373,56774515,37130388,37683542
"__ambiguous",40900,70393,68642,61116,57011,298383,499673,130602,217960,707036,325847,69377,12421,35272,23854,14232,142484,54268,67047,75620,46613,28441,153923,290333,155342,93046,183372,97127,130082,96593,82145,302026,53406,118289,134738,63141,47188,240372,206353,135192,43606
"__no_feature",12583951,12123743,15110604,19532640,14301001,19684193,19976269,30831509,26255146,31518154,23431734,11137981,13627670,3325125,6650002,13711323,22661309,10945945,22180398,33961594,36172654,21463801,27592164,26552071,17005408,23218227,15689915,15411332,27305053,31546719,27158681,23196065,32601838,25473560,30701128,19124845,8181251,12680963,14722106,26036846,10106344
"__not_aligned",6729373,1721671,2085755,10298535,7852184,23363634,18761259,6966654,9352100,4035520,2594231,1548533,10784658,17884756,12254570,25899386,26418584,55729242,29485336,2769149,3934112,8527038,2468945,2370862,2158469,2908582,10674308,10774024,2447082,2384646,2591118,1581864,3930595,5494868,7671601,4834667,13430086,7447230,7054418,2533375,5495679
"__too_low_aQual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1BG",33,16,22,70,40,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,6,13,10,14,10,70,6,6,0,4,2,10,6,2,7,328,0,402,8,3,7
"A1BG-AS1",12,1,1,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,79,76,0,0,0,4,0,0,0,2,1,0,0,1,14221,89,0,18,0,3,0
"A1CF",1,0,14,26,8,1,1,0,2,0,0,10,0,0,0,0,0,0,0,5,6,13,0,3,0,15,2,0,2,4,0,0,9,8,9,2,0,0,0,0,0
"A2M",19,4,96,38,12,1528,34,0,26,0,0,12,167,31,24,24,1062,0,0,4,12,27,9,2,37,3,6,3,158,3,9,17,1,1,59,3,1,4,373,4,111
"A2M-AS1",16,8,2,7,209,6,7,9,6,5,6,0,4,2,9,14,1100,17,17,0,1,1,0,3,4,2,2,0,4,0,3,0,9,1,0,3,12,8,11,4,8
