sample,ploidy,tissue,CD274,PDCD1LG2,subtype
N_BC_1,2,DCIS,-0.044438111,-0.044438111,LumB
N_BC_2,2,DCIS,-0.007911319,-0.007911319,Normal
N_BC_3,2,DCIS,-0.043409324,-0.043409324,Normal
N_BC_4,2,DCIS,-0.009685084,-0.009685084,Her2
N_BC_5,2,DCIS,-0.171477554,-0.171477554,Basal
N_BC_6,2,DCIS,-0.051686636,-0.051686636,Basal
N_BC_7,2,DCIS,-0.020235731,-0.020235731,LumA
N_BC_8,2,DCIS,-0.633331705,-0.633331705,Basal
N_BC_9,2,DCIS,0.011817786,0.011817786,Normal
N_BC_10,2,DCIS,0.01540221,0.01540221,Her2
N_BC_11,2,DCIS,-0.011907242,-0.011907242,Normal
N_BC_12,2,DCIS,0.017135544,0.017135544,LumA
N_BC_13,2,DCIS,-0.009446761,-0.009446761,Basal
N_BC_14,2,DCIS,-0.02260195,-0.02260195,LumA
N_BC_15,2,DCIS,-0.044068941,-0.044068941,Basal
N_BC_16,2,DCIS,-0.027028658,-0.027028658,Her2
N_BC_17,2,DCIS,-0.051403488,-0.051403488,LumB
N_BC_18,4,DCIS,-0.311377392,-0.311377392,LumA
N_BC_19,4,DCIS,-0.447060184,-0.447060184,Her2
N_BC_20,2,DCIS,-0.059719443,-0.059719443,Her2
N_BC_21,2,DCIS,-0.313863207,-0.313863207,Her2
N_BC_22,3,DCIS,0.005425614,0.005425614,LumA
N_BC_23,2,DCIS,-0.017438524,-0.017438524,Her2
N_BC_24,2,DCIS,-0.289207607,-0.289207607,Normal
N_BC_25,2,DCIS,-0.023600567,-0.023600567,Her2
N_BC_26,2,DCIS,-0.140921226,-0.140921226,Her2
N_BC_27,4,DCIS,-0.008371323,-0.008371323,LumB
N_BC_28,3,DCIS,0.281843828,0.281843828,Her2
N_BC_29,4,DCIS,-0.023280741,-0.023280741,LumB
N_BC_30,2,DCIS,-0.093272285,-0.093272285,Normal
N_BC_31,3,DCIS,-0.38972896,-0.38972896,Her2
N_BC_32,2,DCIS,0.043899817,0.043899817,LumB
N_BC_33,2,IDC,0.044175721,0.044175721,NA
N_BC_34,2,DCIS,0.026004737,0.026004737,LumB
N_BC_35,2,DCIS,0.013215861,0.013215861,LumB
N_BC_36,2,IDC,0.02654011,0.02654011,LumA
N_BC_37,2,IDC,0.07474399,0.07474399,LumA
N_BC_38,2,IDC,0.055994346,0.055994346,Her2
N_BC_39,2,DCIS,0.048514683,0.048514683,Her2
N_BC_40,2,IDC,0.015846406,0.015846406,LumA
N_BC_41,2,IDC,0.033741945,0.033741945,LumA
N_BC_42,4,DCIS,-0.145795799,-0.145795799,LumA
N_BC_43,2,IDC,-0.019619401,-0.019619401,Her2
N_BC_44,4,IDC,-0.428311989,-0.428311989,LumB
N_BC_45,3,IDC,-0.193799231,-0.193799231,Basal
N_BC_46,2,DCIS,0.495725771,0.495725771,Basal
N_BC_47,2,DCIS,0.046293756,0.046293756,LumB
N_BC_48,2,IDC,-0.036278531,-0.036278531,Her2
N_BC_49,2,IDC,0.032534338,0.032534338,LumA
N_BC_50,2,IDC,0.024184013,0.024184013,LumA
N_BC_51,2,IDC,-0.002002832,-0.002002832,LumB
N_BC_52,3,IDC,0.240228979,0.240228979,Basal
N_BC_53,2,DCIS,0.015357882,0.015357882,LumA
N_BC_54,2,IDC,-0.028080566,-0.028080566,LumB
N_BC_55,2,IDC,-0.035494263,-0.035494263,Normal
N_BC_56,2,IDC,1.50E-05,1.50E-05,LumB
N_BC_57,2,DCIS,0.026960541,0.026960541,LumA
N_BC_58,2,IDC,-0.034794849,-0.034794849,Normal
N_BC_59,2,DCIS,-0.001361365,-0.001361365,Basal
N_BC_60,2,IDC,-0.001898076,-0.001898076,LumB
N_BC_61,2,DCIS,-0.088212324,-0.088212324,Normal
N_BC_62,2,IDC,0.060245092,0.060245092,Basal
N_BC_63,2,DCIS,0.058681506,0.058681506,LumA
N_BC_64,2,DCIS,0.011816631,0.011816631,LumA
N_BC_65,4,IDC,-0.135078077,-0.135078077,Her2
N_BC_66,2,DCIS,-0.017369017,-0.017369017,Her2
N_BC_67,2,IDC,-0.062693817,-0.062693817,Her2
N_BC_68,2,IDC,-0.027344249,-0.027344249,LumA
N_BC_69,2,IDC,-0.6239131,-0.6239131,LumB
N_BC_70,2,DCIS,-0.073231953,-0.073231953,Normal
N_BC_71,3,IDC,0.002276646,0.002276646,LumB
N_BC_72,2,IDC,-0.003780499,-0.003780499,LumA
N_BC_73,2,DCIS,-0.060035978,-0.060035978,LumA
N_BC_74,2,DCIS,0.002117313,0.002117313,Normal
N_BC_75,2,IDC,0.001239107,0.001239107,Normal
N_BC_76,2,IDC,-0.104765539,-0.104765539,LumB
N_BC_77,4,IDC,0.001285787,0.001285787,LumA
N_BC_78,2,IDC,-0.000926463,-0.000926463,LumB
N_BC_79,2,DCIS,-0.032472272,-0.032472272,LumA
N_BC_80,2,IDC,-0.000113038,-0.000113038,LumA
N_BC_81,2,IDC,0.000839735,0.000839735,LumA
N_BC_82,2,DCIS,-0.078838712,-0.078838712,LumA
N_BC_83,4,DCIS,0.005808418,0.005808418,Basal
N_BC_84,2,IDC,-0.414327991,-0.414327991,Her2
N_BC_85,2,DCIS,-0.030046503,-0.030046503,LumA
N_BC_86,2,DCIS,-0.152730478,-0.152730478,Her2
N_BC_87,2,IDC,0.062807421,0.062807421,LumA
N_BC_88,2,DCIS,-0.019973942,-0.019973942,Her2
N_BC_89,4,DCIS,-0.03803554,-0.03803554,LumB
N_BC_90,2,DCIS,-0.313449356,-0.313449356,LumB
N_BC_91,2,DCIS,-0.073649991,-0.073649991,LumB
N_BC_92,2,DCIS,-0.152381459,-0.152381459,LumA
N_BC_93,2,DCIS,-0.030731453,-0.030731453,Normal
N_BC_94,2,IDC,-0.109965378,-0.109965378,LumB
N_BC_95,3,IDC,-0.225246896,-0.225246896,Her2
N_BC_96,2,IDC,-0.352569772,-0.352569772,Her2
N_BC_97,4,IDC,-0.537459679,-0.537459679,LumB
N_BC_98,4,DCIS,-0.146989418,-0.146989418,LumA
N_BC_99,2,DCIS,-0.097195776,-0.097195776,Her2
N_BC_100,2,IDC,-0.016604503,-0.016604503,LumA
N_BC_101,2,IDC,-0.163749886,-0.163749886,LumA
N_BC_102,2,DCIS,-0.228768477,-0.228768477,LumA
N_BC_103,2,IDC,0.162195282,0.162195282,LumA
N_BC_104,2,IDC,-0.004312357,-0.004312357,LumA
N_BC_105,2,IDC,-0.174597741,-0.174597741,LumA
N_BC_106,3,IDC,0.359313448,0.359313448,Basal
N_BC_107,3,IDC,-0.266797605,-0.266797605,Basal
N_BC_108,3,DCIS,0.383898463,0.383898463,Basal
N_BC_109,2,IDC,0.15082982,0.15082982,Basal
N_BC_110,2,DCIS,0.020785174,0.020785174,Normal
N_BC_111,2,DCIS,0.032546101,0.032546101,Normal
N_BC_112,2,DCIS,-0.082122083,-0.082122083,LumB
N_BC_113,4,IDC,-0.015858168,-0.015858168,Her2
N_BC_114,2,IDC,-0.100541064,-0.100541064,LumB
N_BC_115,3,IDC,-0.313670026,-0.313670026,LumB
N_BC_116,4,IDC,-0.132419424,-0.132419424,LumB
N_BC_117,3,IDC,0.134053121,0.134053121,LumB
N_BC_118,4,IDC,0.167581814,0.167581814,LumA
N_BC_119,2,IDC,-0.032469446,-0.032469446,LumB
N_BC_120,2,IDC,-0.119070249,-0.119070249,Basal
N_BC_121,4,IDC,-0.039975529,-0.039975529,Basal
N_BC_122,2,IDC,-0.292372442,-0.292372442,Basal
N_BC_123,2,IDC,-0.057280196,-0.057280196,Her2
N_BC_124,4,IDC,-0.168531176,-0.168531176,LumA
N_BC_125,2,IDC,-0.124001111,-0.124001111,LumA
N_BC_126,2,IDC,-0.034924382,-0.034924382,LumA
N_BC_127,2,IDC,-0.719094313,-0.719094313,Basal
N_BC_128,4,IDC,-0.024495994,-0.024495994,LumA
N_BC_129,3,IDC,0.631165907,0.631165907,Basal
N_BC_130,2,IDC,0.546258632,0.546258632,Basal
N_BC_131,2,IDC,-0.288204757,-0.288204757,LumB
