,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,150,2526,485,1,1,1,150,2526,0,,1,1,615,705,859,1,1,1,615,705,0,,1,1,483,2286,379,1,1,1,483,2286,0
,8,1,30,2580,478,1,1,1,30,2580,0,,1,1,603,723,1210,1,1,1,603,723,0,,1,1,630,2307,2198,1,1,1,630,2307,0
,8,1,354,2589,521,1,1,1,354,2589,0,,1,1,720,453,1014,1,1,1,720,453,0,,1,1,741,2361,712,1,1,1,741,2361,0
,8,1,375,2625,516,1,1,1,375,2625,0,,1,1,810,336,907,1,1,1,810,336,0,,1,1,687,2499,1378,1,1,1,687,2499,0
,8,1,420,2535,731,1,1,1,420,2535,0,,1,1,765,303,715,1,1,1,765,303,0,,1,1,1398,2655,274,1,1,1,1398,2655,0
,8,1,435,2574,650,1,1,1,435,2574,0,,1,1,777,258,279,1,1,1,777,258,0,,1,1,1179,2202,1529,1,1,1,1179,2202,0
,8,1,480,2589,747,1,1,1,480,2589,0,,1,1,651,99,714,1,1,1,651,99,0,,1,1,612,1272,1963,1,1,1,612,1272,0
,8,1,483,2559,749,1,1,1,483,2559,0,,1,1,630,57,1194,1,1,1,630,57,0,,1,1,123,834,1192,1,1,1,123,834,0
,8,1,546,2613,706,1,1,1,546,2613,0,,1,1,693,57,364,1,1,1,693,57,0,,1,1,1323,600,1288,1,1,1,1323,600,0
,8,1,594,2649,791,1,1,1,594,2649,0,,1,1,459,192,531,1,1,1,459,192,0,,1,1,852,174,1834,1,1,1,852,174,0
,8,1,639,2577,628,1,1,1,639,2577,0,,1,1,528,372,1061,1,1,1,528,372,0,,1,1,1026,180,1740,1,1,1,1026,180,0
,8,1,759,2517,803,1,1,1,759,2517,0,,1,1,336,561,1367,1,1,1,336,561,0,,1,1,747,156,1921,1,1,1,747,156,0
,8,1,624,2448,668,1,1,1,624,2448,0,,1,1,234,465,1395,1,1,1,234,465,0,,1,1,1560,2109,1525,1,1,1,1560,2109,0
,8,1,654,2424,707,1,1,1,654,2424,0,,1,1,480,1155,822,1,1,1,480,1155,0,,1,1,1323,165,396,1,1,1,1323,165,0
,8,1,546,2466,639,1,1,1,546,2466,0,,1,1,447,1365,1244,1,1,1,447,1365,0,,1,1,507,924,1362,1,1,1,507,924,0
,8,1,540,2415,805,1,1,1,540,2415,0,,1,1,963,1170,369,1,1,1,963,1170,0,,1,1,516,1089,1009,1,1,1,516,1089,0
,8,1,465,2460,658,1,1,1,465,2460,0,,1,1,1008,1155,1468,1,1,1,1008,1155,0,,1,1,744,1152,2088,1,1,1,744,1152,0
,8,1,444,2427,582,1,1,1,444,2427,0,,1,1,1242,894,621,1,1,1,1242,894,0,,2,1,573,2592,1843,1,1,1,573,2592,0
,8,1,657,2487,664,1,1,1,657,2487,0,,1,1,2664,303,987,1,1,1,2664,303,0,,2,1,507,2469,2596,1,1,1,507,2469,0
,8,1,621,2364,868,1,1,1,621,2364,0,,1,1,531,714,1581,1,1,1,531,714,0,,2,1,597,2373,315,1,1,1,597,2373,0
,8,1,615,2313,623,1,1,1,615,2313,0,,1,1,249,795,1350,1,1,1,249,795,0,,2,1,663,2088,357,1,1,1,663,2088,0
,8,1,576,2289,554,1,1,1,576,2289,0,,1,1,738,624,1390,1,1,1,738,624,0,,2,1,528,2037,909,1,1,1,528,2037,0
,8,1,531,2340,769,1,1,1,531,2340,0,,1,1,348,963,1207,1,1,1,348,963,0,,2,1,1158,2109,611,1,1,1,1158,2109,0
,8,1,477,2343,516,1,1,1,477,2343,0,,8,1,531,2205,336,1,1,1,531,2205,0,,2,1,1488,2235,1634,1,1,1,1488,2235,0
,8,1,522,2271,406,1,1,1,522,2271,0,,8,1,474,1434,754,1,1,1,474,1434,0,,2,1,1260,2442,1964,1,1,1,1260,2442,0
,8,1,552,2280,466,1,1,1,552,2280,0,,8,1,453,1377,594,1,1,1,453,1377,0,,2,1,1404,2502,1110,1,1,1,1404,2502,0
,8,1,522,2229,449,1,1,1,522,2229,0,,8,1,420,1338,894,1,1,1,420,1338,0,,2,1,1422,2538,574,1,1,1,1422,2538,0
,8,1,546,2193,795,1,1,1,546,2193,0,,8,1,381,1281,259,1,1,1,381,1281,0,,2,1,1491,2568,312,1,1,1,1491,2568,0
,8,1,540,2172,664,1,1,1,540,2172,0,,8,1,498,1215,1210,1,1,1,498,1215,0,,2,1,1479,2637,1556,1,1,1,1479,2637,0
,8,1,534,2121,647,1,1,1,534,2121,0,,8,1,477,1176,914,1,1,1,477,1176,0,,2,1,1362,2583,290,1,1,1,1362,2583,0
,8,1,519,2073,765,1,1,1,519,2073,0,,8,1,495,1131,976,1,1,1,495,1131,0,,2,1,2151,2703,1836,1,1,1,2151,2703,0
,8,1,597,2073,772,1,1,1,597,2073,0,,8,1,486,1116,967,1,1,1,486,1116,0,,2,1,1110,762,410,1,1,1,1110,762,0
,8,1,450,2100,696,1,1,1,450,2100,0,,8,1,417,1116,929,1,1,1,417,1116,0,,2,1,930,663,277,1,1,1,930,663,0
,8,1,384,2154,345,1,1,1,384,2154,0,,8,1,417,1005,1143,1,1,1,417,1005,0,,2,1,741,1353,2406,1,1,1,741,1353,0
,8,1,438,2160,664,1,1,1,438,2160,0,,8,1,333,954,1203,1,1,1,333,954,0,,2,1,669,1299,1550,1,1,1,669,1299,0
,8,1,408,2238,467,1,1,1,408,2238,0,,8,1,297,846,921,1,1,1,297,846,0,,2,1,249,810,719,1,1,1,249,810,0
,8,1,459,2295,300,1,1,1,459,2295,0,,8,1,375,861,1149,1,1,1,375,861,0,,2,1,339,1239,1517,1,1,1,339,1239,0
,8,1,375,2355,540,1,1,1,375,2355,0,,8,1,369,816,946,1,1,1,369,816,0,,2,1,609,216,368,1,1,1,609,216,0
,8,1,222,2391,560,1,1,1,222,2391,0,,8,1,351,765,765,1,1,1,351,765,0,,2,1,918,162,414,1,1,1,918,162,0
,8,1,231,2331,667,1,1,1,231,2331,0,,8,1,270,669,1363,1,1,1,270,669,0,,2,1,1473,222,309,1,1,1,1473,222,0
,8,1,342,2199,599,1,1,1,342,2199,0,,8,1,318,579,1322,1,1,1,318,579,0,,2,1,1461,348,316,1,1,1,1461,348,0
,8,1,333,2160,609,1,1,1,333,2160,0,,8,1,357,597,614,1,1,1,357,597,0,,2,1,1209,462,300,1,1,1,1209,462,0
,8,1,81,2385,532,1,1,1,81,2385,0,,8,1,405,597,1560,1,1,1,405,597,0,,2,1,1719,345,273,1,1,1,1719,345,0
