,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S11-32228_,,,,,,,,,,,,M-S11-32228_1,,,,,,,,,,,,M-S11-32228_3,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,1,1,263,2105,483,1,1,1,263,2105,0,,1,1,2352,1329,604,1,1,1,2352,1329,0,,1,3,516,1407,212,3,1,1,516,1407,0
,1,1,178,2240,636,1,1,1,178,2240,0,,1,1,2844,1575,638,1,1,1,2844,1575,0,,1,3,513,657,223,3,1,1,513,657,0
,1,1,500,2031,448,1,1,1,500,2031,0,,1,1,2667,1722,545,1,1,1,2667,1722,0,,1,3,549,600,213,3,1,1,549,600,0
,1,1,629,1983,556,1,1,1,629,1983,0,,1,1,2652,1815,246,1,1,1,2652,1815,0,,1,3,549,558,212,3,1,1,549,558,0
,1,1,757,1961,686,1,1,1,757,1961,0,,1,1,2589,1917,350,1,1,1,2589,1917,0,,1,3,594,588,198,3,1,1,594,588,0
,1,1,1393,2162,553,1,1,1,1393,2162,0,,1,1,2418,1977,476,1,1,1,2418,1977,0,,1,3,681,558,214,3,1,1,681,558,0
,1,1,1445,2140,783,1,1,1,1445,2140,0,,1,1,2043,2028,558,1,1,1,2043,2028,0,,1,3,819,285,230,3,1,1,819,285,0
,1,1,1458,2214,839,1,1,1,1458,2214,0,,1,1,1980,2094,454,1,1,1,1980,2094,0,,1,3,840,240,241,3,1,1,840,240,0
,1,1,1521,2109,650,1,1,1,1521,2109,0,,1,1,1938,2301,454,1,1,1,1938,2301,0,,1,3,900,183,213,3,1,1,900,183,0
,1,1,1567,2118,684,1,1,1,1567,2118,0,,1,1,1746,2202,330,1,1,1,1746,2202,0,,1,3,963,177,239,3,1,1,963,177,0
,1,1,1267,2362,552,1,1,1,1267,2362,0,,1,1,1617,2094,581,1,1,1,1617,2094,0,,1,3,543,273,212,3,1,1,543,273,0
,1,1,1952,2109,735,1,1,1,1952,2109,0,,1,1,1647,2031,508,1,1,1,1647,2031,0,,1,3,444,384,216,3,1,1,444,384,0
,1,1,2107,2181,1019,1,1,1,2107,2181,0,,1,1,1509,2286,433,1,1,1,1509,2286,0,,1,3,486,444,215,3,1,1,486,444,0
,1,1,2760,2251,874,1,1,1,2760,2251,0,,1,1,1383,2271,408,1,1,1,1383,2271,0,,1,3,498,501,222,3,1,1,498,501,0
,1,1,2830,2318,259,1,1,1,2830,2318,0,,1,1,1518,2040,621,1,1,1,1518,2040,0,,1,3,513,564,210,3,1,1,513,564,0
,1,1,2913,2373,1000,1,1,1,2913,2373,0,,1,1,1809,1800,582,1,1,1,1809,1800,0,,1,3,333,438,219,3,1,1,333,438,0
,1,1,2830,2451,638,1,1,1,2830,2451,0,,1,1,1752,1743,503,1,1,1,1752,1743,0,,1,3,276,408,214,3,1,1,276,408,0
,1,1,2821,2466,1173,1,1,1,2821,2466,0,,1,1,1647,1791,528,1,1,1,1647,1791,0,,1,3,333,372,274,3,1,1,333,372,0
,1,1,3039,2434,679,1,1,1,3039,2434,0,,1,1,1524,1884,273,1,1,1,1524,1884,0,,1,3,171,276,218,3,1,1,171,276,0
,1,1,2995,2351,260,1,1,1,2995,2351,0,,1,1,1500,1818,587,1,1,1,1500,1818,0,,1,3,198,207,220,3,1,1,198,207,0
