"","values","ind"
"1","HLA-DRB4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"2","TNFRSF13C","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"3","HLA-DRB5","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"4","HLA-DOA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"5","HLA-DOB","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"6","HLA-DRB3","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"7","CD80","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"8","CD86","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"9","CD28","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"10","TNFSF13","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"11","TNFSF13B","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"12","CCL27","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"13","IL15RA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"14","IL15","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"15","ICOSLG","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"16","ITGA4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"17","TGFB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"18","ICOS","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"19","CCR9","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"20","MAP3K14","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"21","CXCR4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"22","CCL25","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"23","TNFRSF17","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"24","HLA-DMB","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"25","HLA-DMA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"26","CCL28","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"27","LTBR","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"28","PIGR","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"29","IL2","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"30","CD40LG","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"31","HLA-DPA1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"32","CD40","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"33","AICDA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"34","HLA-DPB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"35","HLA-DQA1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"36","HLA-DQA2","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"37","HLA-DQB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"38","TNFRSF13B","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"39","ITGB7","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"40","CXCL12","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"41","CCR10","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"42","MADCAM1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"43","IL4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"44","IL5","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"45","IL10","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"46","IL6","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"47","HLA-DRB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"48","HLA-DRA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"49","HLA-DOA","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"50","HLA-DOB","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"51","CD80","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"52","CD86","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"53","CD28","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"54","IFNA5","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"55","IFNA4","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"56","IFNA2","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"57","TSHR","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"58","TSHB","KEGG_AUTOIMMUNE_THYROID_DISEASE"
