"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"DCIS15",0.168104014046877,0,0,0.125432455945385,0.0767708722123274,0,0,0,0.101466632711951,0,0.162678712966182,0.0267100699111591,0.135395338984381,0.160067254748516,0,0,0,0,0.0433746484732205,0,0,0,0,-0.0476635358526925,1.11926403834322
"DCIS166",0.138096053344635,0,0.00218905252498035,0.39704298422329,0,0.119409143099097,0,0.00769951159783022,0.0567134895927943,0,0.149580252609647,0,0.0650259245156312,0,0.0007181560915927,0,0,0,0,0.063525432400503,0,0,0,-0.0252162126299815,1.16785504074157
"DCIS178",0.298466507674401,0,0.0880393968604018,0,0.169023510904405,0.0659032088967146,0.00374715737819166,0.0587668369908522,0.140137581079892,0,0.0612185255495914,0.00221808533811818,0.0155209465541195,0.0811697927509493,0.00348002992765459,0.00469370072717829,0,0,0.00405297626806213,0.00356174309946807,0,0,0,0.131020143892407,1.04904486344796
"DCIS17",0.137224050387572,0,0,0.313303525838648,0.04316540692309,0.302302973867423,0.00894303505094439,0,0,0,0.0620711489599086,0.0135528305064333,0.0117999073760796,0.0525791444167519,0.0021896959347079,0,0,0,0,0.0528682807384413,0,0,0,0.0166511715967605,1.14002903122512
"DCIS18",0.0463651197046418,0,0,0.277484823385302,0,0,0,0.161388587046511,0.0996633610792607,0,0.126193503193903,0,0.0121495284286199,0.126392087509499,0,0.0338607821165409,0,0.0775669471796164,0,0.0389352603561065,0,0,0,0.0501214113301257,1.09465976569534
"DCIS274",0.0475681805489199,0,0,0.230191888592887,0,0.511445261306927,0,0,0.025405639519045,0,0,0.0834261607034973,0.0537975267224577,0.00648206158339422,0,0,0,0.00128179700517898,0,0.0364621939790229,0.00393929003867033,0,0,0.127489106815787,1.10150866536144
"DCIS280",0.0924934009564045,0,0,0.113933567070775,0,0.526206435015697,0.0585174538092674,0,0.0532505978724521,0,0.0954664054648475,0,0.0355123504103841,0.00678168922122403,0,0,0,0.00740076783898943,0,0.00478379665559387,0.00565353568436486,0,0,0.106054693830138,1.09644266838413
"DCIS307",0,0.0182624973653367,0.106219738067532,0.257397805183403,0.226345801250254,0.190802974032549,0.010212516537183,0,0,0,0.0486643307861951,0.0233102428507385,0.0530736615727223,0.00603996228840441,0,0.0144956910443891,0,0.0150018060754717,0,0.00509140969866168,0.0250815632471605,0,0,0.022654248375122,1.12735448428599
"DCIS320",0.0751101835286922,0,0.0142730913447419,0.655625832829386,0,0.165069846904237,0.0522214993470064,0,0,0,0,0,0,0.00619671249850304,0,0.000931079820733657,0.00363255823807482,0.00761839357427043,0,0.00666044436702064,0.0126603575473346,0,0,0.0720037005205034,1.15924660982018
"DCIS322",0.0763430436155913,0,0,0.0738853539870684,0.0596472183348753,0.378952435965113,0,0,0,0,0,0.140450448346356,0.0307290914145388,0,0,0,0,0.00883655876038978,0,0.168028366103083,0.0631274834729847,0,0,0.0234746630540116,1.13236843109504
"DCIS336",0.0061728184950635,0,0,0.254459269970888,0.182070035190101,0.312713702734008,0.00883942161207518,0,0.0502189757921515,0,0,0.113585191687103,0.0194899084040707,0.00890195027029103,0,0,0.00402759117722248,0.00191734368067209,0,0.0206068648360671,0.0110524062836881,0.00594451986659848,0,0.0471268662470728,1.15988150875985
"IDC127",0.167384448736753,0,0.00285049712012353,0.192978798481642,0.062887266510042,0,0,0.0493712751401293,0.311848080200357,0,0.136161497395077,0,0.0340310899878447,0.0421130434123173,0.000117211081815495,0,0,0,0.000256791933899523,0,0,0,0,-0.00587786250140972,1.13948040432474
"IDC180",0,0.0383251246654496,0,0.0550926733725292,0,0.404273299472367,0.11094187071569,0,0,0,0.00523993445978187,0,0.0139625124459662,0.0276845321110949,0,0.0678060120203092,0.0119136634170049,0.0830272467059331,0,0.141376687881817,0.0403564427320573,0,0,0.228889336248591,0.997534161051386
"IDC192",0.0200430938613502,0,0,0,0,0.65941746813256,0.158985860328299,0,0,0,0.0925576731326452,0,0.0219393622567679,0,0,0,0,0.0126795013967654,0,0.0211839595267848,0.0131930813648274,0,0,0.183797887238799,1.05485689734124
"IDC229",0.00218002017012265,0,0.00297003316780325,0.0065120001318597,0,0.789682652822938,0.116998266447119,0,0,0.0425257548672417,0,0,0,0,0.00978873572586907,0,0,0.0115434090899804,0,0.00405354815989684,0.0137455794171693,0,0,0.211663613438755,1.05903265858108
"IDC242",0.0282821926060093,0,0.00545948878493665,0.293325993327803,0,0.24635724650048,0,0.121962999766003,0.0856623796848463,0,0,0.0861987653053923,0.0551458425670227,0.00411465545461305,0,0,0,0.00144177340319231,0,0.0614291348482523,0.0106195277514497,0,0,-0.00035421007932086,1.1576726322619
"IDC249",0.16066521466987,0,0.0085454708320006,0.224475412479442,0,0.365316511359981,0.0118379055360873,0,0.0539026745514711,0,0.046376011592401,0.0328467678150363,0.0540192111643542,0.00255843658728565,0.00192810483919235,0.00709672917511769,0.000294698086259137,0.00170771775875972,0,0.0115269843991486,0.0169021491535942,0,0,0.0766272688547849,1.10257601740698
"IDC251",0.074801309225403,0,0,0.0766794131196355,0,0.675008226682706,0,0,0,0,0.0664976329478312,0.0422364324049183,0.0445094136756757,0.00652876271064519,0,3.60033050203141e-05,0,0.0137028059281651,0,0,0,0,0,0.0693911153931268,1.13178683220131
"IDC255",0.043828621885098,0,0,0,0,0.619802807208696,0.135004857192522,0.0315601650804496,0,0,0.0252167054486485,0.0148286163095925,0,0.0081819752509935,0,0,0,0.0257761165577063,0.0459085100238879,0,0.0498916250424057,0,0,0.0797798777666198,1.09443454760594
"IDC256",0.0906680880906929,0,0,0.190173743123831,0,0,0.0384956522822699,0.020056970090943,0.0393080094747323,0,0.0839797847728887,0.0286064449250982,0.367808447015414,0.14090286022413,0,0,0,0,0,0,0,0,0,0.00328929990744771,1.10638880756121
"IDC340",0.00776319019004906,0,0,0.0346206798913842,0.0969017813997218,0.54390082947044,0.0252212486766201,0,0.0585889447502611,0,0.104522510513869,0,0.0729798320013299,0.00514670044471493,0,0.0116470314252347,0,0.00549381829786841,0,0.0192891860036999,0.0139242469348076,0,0,0.209143880568623,1.04147027504319
"IDC97",0.421800795242663,0,0.015162404100356,0.0854047402136933,0,0.0174785400005738,0.0252826109176483,0.0167135219249361,0.113866085518786,0,0.0673490151636043,0,0.0107937304409279,0.164976111263983,0,0.00149450115252863,0,0.00790436749931985,0,0.0517735765609798,0,0,0,0.0500685979332963,1.08827839199154
