"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",0.28653301164937,0,0,0.464427381450975
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",0.309366015486994,0,0,0.452834219327583
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.331276131055754,0,0,0.383745442608601
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP",0.233499820433977,0,0,0.528094302313339
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.265622335480419,0,0,0.455927507155935
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.238294205787659,0,0,0.524337313634739
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",-0.404939993759306,0,0,0.454038770604884
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.250985281271677,0,0,0.521980822501598
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP",-0.328667177655651,0,0,0.534463279530356
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP",-0.400093181534431,0,0,0.428964759091331
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN",0.304723631227583,0,0,0.467844912981755
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.311574236290753,0,0,0.440352931957686
"GSE10325_MYELOID_VS_LUPUS_MYELOID_DN",0.27849218143809,0,0,0.485988567285032
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",0.25381334956356,0,0,0.484182448456208
"GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP",0.248314165624885,0,0,0.487710518272247
"GSE11924_TFH_VS_TH2_CD4_TCELL_DN",0.272371318584937,0,0,0.479435467151714
"GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP",0.254447606602178,0,0,0.535116359341046
"GSE13306_TREG_RA_VS_TCONV_RA_DN",-0.342874535092649,0,0,0.52150636546913
"GSE13411_NAIVE_VS_MEMORY_BCELL_DN",-0.322702379837116,0,0,0.619008779789641
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN",0.273435785362423,0,0,0.453663851937536
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN",0.354090253090548,0,0,0.296938274680785
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.324806669649572,0,0,0.40802714478504
"GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN",0.293729556427012,0,0,0.456559890337594
"GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.365450171155463,0,0,0.344315969410706
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_UP",-0.353922061484613,0,0,0.549064710511293
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN",0.367804791342898,0,0,0.251558434547908
"GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.268300136114711,0,0,0.486937304800463
"GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN",0.371728609262836,0,0,0.29958033545402
"GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP",0.262392153203812,0,0,0.479311277032938
"GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN",0.275110483878603,0,0,0.479687228158669
"GSE14000_4H_VS_16H_LPS_DC_UP",0.250065284161258,0,0,0.524456402544824
"GSE14308_TH17_VS_INDUCED_TREG_DN",0.247240645324839,0,0,0.485424589814618
"GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN",0.286445828243104,0,0,0.464494607479098
"GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN",0.294030327028395,0,0,0.440335581338478
"GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP",-0.329962130490748,0,0,0.583065351893576
"GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN",0.237379097695593,0,0,0.564535689880205
"GSE15215_CD2_POS_VS_NEG_PDC_UP",0.220938703169131,0,0,0.580889692508448
"GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_DN",0.257226966428734,0,0,0.488156179235573
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP",0.367681581783348,0,0,0.344715540330115
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",0.374351408735325,0,0,0.262132793522267
"GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP",-0.37989648028922,0,0,0.446811480422693
"GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP",0.279710573164371,0,0,0.474001687262861
"GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP",-0.325730070120122,0,0,0.581393324607979
"GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDM_UP",0.238956373387164,0,0,0.576058835683373
"GSE17721_LPS_VS_POLYIC_0.5H_BMDM_UP",0.257862192733734,0,0,0.516257076899876
"GSE17721_PAM3CSK4_VS_CPG_12H_BMDM_UP",0.264068235271595,0,0,0.48241338731444
"GSE17721_PAM3CSK4_VS_CPG_24H_BMDM_DN",0.235147337421063,0,0,0.566574087459051
"GSE17721_LPS_VS_PAM3CSK4_6H_BMDM_DN",0.257887626973395,0,0,0.483756599796813
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDM_DN",0.244550198817531,0,0,0.512262260641208
"GSE17721_12H_VS_24H_LPS_BMDM_DN",0.249278307322491,0,0,0.515165847856215
"GSE17721_4H_VS_24H_POLYIC_BMDM_UP",0.246251660827199,0,0,0.514486949732883
"GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDM_UP",0.223416613392882,0,0,0.576170851596089
