"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN",0.286597027570102,0,0,0.319879693427965
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",0.313426788428885,0,0,0.300299668760652
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",0.319200673186116,0,0,0.268641111782542
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",0.314918076974011,0,0,0.265403320596114
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",0.305665155849776,0,0,0.297797027426016
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.346865367089552,0,0,0.206620388778467
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN",0.277699067411627,0,0,0.403089824545013
"GSE10325_CD4_TCELL_VS_MYELOID_UP",0.27374680110266,0,0,0.344757804568365
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.322828661109707,0,0,0.267108834754429
"GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN",0.333481846621392,0,0,0.270051830299029
"GSE11924_TFH_VS_TH2_CD4_TCELL_DN",0.280158057361912,0,0,0.332866166811649
"GSE11924_TH1_VS_TH2_CD4_TCELL_DN",0.275900840259944,0,0,0.337451452322506
"GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN",0.306215169002374,0,0,0.301120572724395
"GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP",-0.314575215743642,0,0,0.715162792879238
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN",0.299764040214109,0,0,0.298388340760076
"GSE13229_IMM_VS_MATURE_NKCELL_DN",-0.250794567934567,0,0,0.944335707292726
"GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN",0.324203172464833,0,0,0.264072678023635
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN",0.293412987562658,0,0,0.327780301268749
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_UP",-0.308856532370126,0,0,0.752703269701715
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN",0.364620332124414,0,0,0.202597519374617
"GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_DN",0.279719696041733,0,0,0.332277498540987
"GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN",0.29218103355894,0,0,0.332101411902753
"GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP",0.286743369333289,0,0,0.312691231275994
"GSE14308_TH2_VS_INDUCED_TREG_UP",0.308565354127023,0,0,0.298723576439595
"GSE14308_TH1_VS_TH17_DN",0.302552655095737,0,0,0.273292885252277
"GSE14308_TH1_VS_NATURAL_TREG_UP",0.282954225880675,0,0,0.37382163066887
"GSE14308_TH17_VS_NATURAL_TREG_UP",0.269685399150706,0,0,0.350297896561563
"GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN",0.293986483701119,0,0,0.331470867751545
"GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP",0.270567054312097,0,0,0.362147928847324
"GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP",0.260849185768092,0,0,0.402276102265303
"GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP",0.308176141958936,0,0,0.299516384208344
"GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP",-0.285470817512628,0,0,0.833610613491324
"GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN",0.291515661367047,0,0,0.331892987025851
"GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN",0.32669337230335,0,0,0.26691690026239
"GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN",0.339983205138534,0,0,0.212458687054493
"GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",0.344106662244751,0,0,0.257959957300565
"GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP",0.312066929295096,0,0,0.299808785249982
"GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN",0.402246549604607,0,0,0.36275618995392
