"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",-0.314039645041514,0,0,0.155692500758407
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",-0.350948834151209,0,0,0.0682164956711591
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",-0.374802687393546,0,0,0.0511212064148064
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",-0.366806003523739,0,0,0.0601848513937756
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",-0.38491059936777,0,0,0.0338568169603132
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP",-0.311039948496674,0,0,0.15993789042919
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN",-0.40610453587951,0,0,0.0203817493195233
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",-0.368074267704848,0,0,0.0581474109081391
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN",-0.338963699834395,0,0,0.0937514985436351
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN",-0.388666558652001,0,0,0.031224413114592
"GSE10325_CD4_TCELL_VS_MYELOID_DN",-0.371836887028883,0,0,0.0471551412982159
"GSE10325_BCELL_VS_MYELOID_DN",-0.410430302616128,0,0,0.0221609873998792
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",0.272431037226819,0,0,0.321924662894293
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",-0.414142554314927,0,0,0.0150869569451321
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",-0.341196214935943,0,0,0.0865426599403979
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN",-0.350787024325459,0,0,0.0750428074031503
"GSE10325_MYELOID_VS_LUPUS_MYELOID_DN",-0.312735584741612,0,0,0.185958464159692
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",0.303579470698757,0,0,0.258084980273759
"GSE11057_CD4_EFF_MEM_VS_PBMC_DN",-0.33692575154918,0,0,0.0920431898527113
"GSE11057_CD4_CENT_MEM_VS_PBMC_DN",-0.337641953955183,0,0,0.0917165038515802
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",-0.44881622779005,0,0,0.00204884600489449
"GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN",-0.363839654472025,0,0,0.053289234117913
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",-0.319141588867117,0,0,0.133280290773606
"GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP",-0.315775659248658,0,0,0.144743213518101
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",-0.331135809381879,0,0,0.136819572153771
"GSE11924_TH2_VS_TH17_CD4_TCELL_UP",-0.309165292281335,0,0,0.179708102971678
"GSE12366_GC_VS_MEMORY_BCELL_UP",-0.340556184521508,0,0,0.0771562669060817
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",-0.326265613524928,0,0,0.10672970021793
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN",0.281773442164992,0,0,0.287183715163054
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP",0.249807856521423,0,0,0.485417233460816
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN",-0.35672283382901,0,0,0.0623578698838152
"GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP",0.256257377100158,0,0,0.427226939721402
"GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN",-0.313567250814385,0,0,0.163187751783848
"GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN",-0.273510486083365,0,0,0.241334636065821
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN",-0.382584600551956,0,0,0.0291502480371167
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",-0.377356761970278,0,0,0.0388531163123284
"GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN",-0.380957332000546,0,0,0.0514230068716129
"GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN",-0.42684688945725,0,0,0.0150394015252893
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_UP",0.335138316247337,0,0,0.252476694988133
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN",-0.521256618760409,0,0,0
"GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN",-0.393704455138397,0,0,0.0163907680391559
"GSE13493_DP_VS_CD8POS_THYMOCYTE_DN",-0.350962554239048,0,0,0.0626795111126981
"GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_DN",-0.368862483714917,0,0,0.0473335961643573
"GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP",-0.321693079208333,0,0,0.111293597098916
"GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP",-0.328425334112729,0,0,0.0894129958637169
"GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_DN",-0.308517114848115,0,0,0.155984984509323
"GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP",-0.365311696708552,0,0,0.0571126815527455
"GSE14308_TH2_VS_TH17_UP",-0.323079383844409,0,0,0.138402210289589
"GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP",-0.328776993983866,0,0,0.0931119745585348
"GSE14308_TH2_VS_NATURAL_TREG_UP",-0.333242620257282,0,0,0.0906307711699447
"GSE14308_TH1_VS_TH17_UP",-0.307753638779274,0,0,0.148010104476501
"GSE14308_TH1_VS_TH17_DN",0.279954460065578,0,0,0.323233008004573
"GSE14308_TH1_VS_NAIVE_CD4_TCELL_UP",-0.330054172280071,0,0,0.124723500547952
"GSE14308_TH17_VS_INDUCED_TREG_UP",-0.357266675084721,0,0,0.0831298359894052
"GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN",-0.311915978495435,0,0,0.142872131956795
"GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN",-0.351748327871816,0,0,0.0747494410391031
"GSE14350_IL2RB_KO_VS_WT_TREG_DN",-0.331673127584626,0,0,0.101465710222936
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP",-0.319229144309187,0,0,0.144607924999952
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP",-0.384030124935239,0,0,0.045829450109482
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN",0.253073150319747,0,0,0.448711923624339
