"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN",0.36411006584058,0,0,NA
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN",0.31161547117374,0,0,NA
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN",-0.263851492249174,0,0,NA
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",-0.29855718876632,0,0,NA
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN",-0.25527753818954,0,0,NA
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP",0.364952168687345,0,0,NA
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",-0.249620688345944,0,0,NA
"GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN",-0.298505446929278,0,0,NA
"GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN",-0.241902532070784,0,0,NA
"GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN",-0.274263826195087,0,0,NA
"GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP",0.306786609060306,0,0,NA
"GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP",0.297759833366661,0,0,NA
"GSE14308_TH17_VS_INDUCED_TREG_UP",0.329625689504055,0,0,NA
"GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",0.375767398742118,0,0,NA
"GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN",0.396571925124467,0,0,NA
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP",-0.272975839739579,0,0,NA
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",-0.323698205695691,0,0,NA
"GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP",0.314194588438428,0,0,NA
"GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_UP",0.30755671848419,0,0,NA
"GSE15930_STIM_VS_STIM_AND_IFNAB_24H_CD8_T_CELL_DN",0.326851241131414,0,0,NA
"GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_48H_CD8_T_CELL_UP",0.331111775366729,0,0,NA
"GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN",0.340595896332484,0,0,NA
"GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_NAIVE_CD8_TCELL_UP",0.362038489013058,0,0,NA
"GSE17721_CTRL_VS_LPS_24H_BMDM_DN",0.319204720653427,0,0,NA
"GSE17721_CTRL_VS_POLYIC_8H_BMDM_UP",0.34391913892552,0,0,NA
"GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_DN",0.313379129053758,0,0,NA
"GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDM_DN",0.332682451188865,0,0,NA
"GSE17721_0.5H_VS_24H_PAM3CSK4_BMDM_DN",0.326360606684067,0,0,NA
"GSE17721_0.5H_VS_8H_CPG_BMDM_UP",0.332048491294663,0,0,NA
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN",-0.326222389390909,0,0,NA
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN",-0.271081671756636,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP",-0.215745650192026,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN",-0.255584300125679,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN",-0.27720431398999,0,0,NA
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",-0.305733086918604,0,0,NA
"GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_UP",0.369162457146516,0,0,NA
"GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_UP",0.323828360178092,0,0,NA
"GSE22886_TCELL_VS_BCELL_NAIVE_UP",0.336516137534383,0,0,NA
"GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP",0.336567370512804,0,0,NA
"GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN",0.350625501511727,0,0,NA
"GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN",0.368441309413581,0,0,NA
"GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP",0.351863991115273,0,0,NA
"GSE22886_DC_VS_MONOCYTE_DN",0.31655606511712,0,0,NA
"GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP",0.369475576581151,0,0,NA
"GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_DN",0.374362952961037,0,0,NA
"GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP",-0.29009510473426,0,0,NA
"GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_UP",-0.211419553479151,0,0,NA
"GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP",-0.271308732538056,0,0,NA
"GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP",-0.245969598897495,0,0,NA
"GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP",-0.226780313165053,0,0,NA
"GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP",-0.254879907690862,0,0,NA
"GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN",0.337838592566487,0,0,NA
"GSE2706_UNSTIM_VS_2H_R848_DC_DN",0.346273688211334,0,0,NA
"GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN",0.356858083613567,0,0,NA
"GSE27786_LIN_NEG_VS_NEUTROPHIL_DN",0.326058412615414,0,0,NA
"GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP",0.339182688665026,0,0,NA
"GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP",0.328530226980894,0,0,NA
"GSE27786_NKCELL_VS_ERYTHROBLAST_DN",-0.234125681774256,0,0,NA
"GSE27786_NEUTROPHIL_VS_MONO_MAC_UP",0.354015786001014,0,0,NA
"GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP",0.418583310136282,0,0,NA
"GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP",0.393305753550534,0,0,NA
"GSE30083_SP1_VS_SP4_THYMOCYTE_DN",-0.223863347550729,0,0,NA
"GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN",0.319737181912911,0,0,NA
"GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN",0.305040045417159,0,0,NA
"GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP",0.316875820641741,0,0,NA
"GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN",0.348876110114211,0,0,NA
"GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_DN",0.340550157828201,0,0,NA
"GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP",0.379955145185529,0,0,NA
"GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.351066803783875,0,0,NA
"GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.37241548554148,0,0,NA
"GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.32173527158217,0,0,NA
"GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.391274251988486,0,0,NA
"GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.361515217987193,0,0,NA
"GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.350422544871474,0,0,NA
