"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN",0.249871500738589,0,0,0.836776289395173
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.259201520302955,0,0,0.839256998369568
"GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN",0.28625406509231,0,0,0.724882190797787
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN",0.252561992876728,0,0,0.823009034749748
"GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_DN",-0.317978898817614,0,0,1
"GSE17721_CTRL_VS_LPS_12H_BMDM_DN",0.31761892448057,0,0,0.770684543557202
"GSE17721_PAM3CSK4_VS_CPG_1H_BMDM_UP",0.240067524593532,0,0,0.905483449004459
"GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDM_UP",-0.320996419868122,0,0,1
"GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDM_UP",0.231718219768587,0,0,0.989500102958111
"GSE17721_0.5H_VS_4H_LPS_BMDM_UP",0.245357137887372,0,0,0.91369614915974
"GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP",-0.338728729167637,0,0,1
"GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP",0.304414219510417,0,0,0.707856419521881
"GSE22886_NAIVE_TCELL_VS_NKCELL_UP",0.244811494068911,0,0,0.906522309015603
"GSE22886_NAIVE_VS_MEMORY_TCELL_DN",0.281737889155256,0,0,0.724031340171814
"GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP",0.260043930328557,0,0,0.747744464510827
"GSE22886_NAIVE_TCELL_VS_DC_UP",0.32566236101936,0,0,0.636132089129097
"GSE22886_NAIVE_CD8_TCELL_VS_DC_UP",0.293635800039711,0,0,0.717555350967112
"GSE22886_CTRL_VS_LPS_24H_DC_DN",0.244311100447672,0,0,0.902680519104498
"GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP",0.23474375851214,0,0,0.900034110381212
"GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN",-0.35036986454782,0,0,1
"GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP",0.29379743520122,0,0,0.747686338130415
"GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP",0.217818574512248,0,0,1
"GSE29618_BCELL_VS_MDC_UP",0.302650987511109,0,0,0.731152959911209
"GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP",-0.341279161358286,0,0,1
"GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_DN",-0.340229398421643,0,0,1
"GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP",-0.32536657641824,0,0,1
"GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP",-0.332497278166385,0,0,1
"GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_DN",0.298577225641588,0,0,0.671190680130131
"GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN",0.282658664381557,0,0,0.735021494090633
"GSE3982_MAST_CELL_VS_BASOPHIL_DN",0.268647205414483,0,0,0.786132665606762
"GSE3982_BCELL_VS_BASOPHIL_DN",0.244566977947813,0,0,0.8516819779389
"GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP",0.24518775216112,0,0,0.849480217464892
"GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_DN",0.269906032994991,0,0,0.731224895464132
"GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN",-0.323736509626194,0,0,1
"GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_DN",0.258742683292674,0,0,0.850663033668426
"GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN",-0.345829736845101,0,0,1
"GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_DN",-0.361381112950916,0,0,1
"GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",-0.349228405945818,0,0,1
"GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",0.262133869422412,0,0,0.740831512774283
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",0.330950400159549,0,0,0.631400042856051
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN",0.260655929355177,0,0,0.787181836799488
"GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_DN",0.297572383316204,0,0,0.722034272202565
"GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP",-0.35036048088908,0,0,1
"GSE6674_UNSTIM_VS_CPG_STIM_BCELL_DN",-0.356143399491847,0,0,1
"GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_UP",0.239144083437978,0,0,0.911068525993399
"GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN",0.238617802025292,0,0,0.910778773591817
"GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP",0.229265222244415,0,0,0.934982889175745
"GSE13547_2H_VS_12_H_ANTI_IGM_STIM_ZFX_KO_BCELL_UP",0.280526257609123,0,0,0.743108731491585
"GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP",-0.333894492334739,0,0,1
"GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN",0.286182687182937,0,0,0.74146905105634
"GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN",0.243768057410523,0,0,0.941097602169879
"GSE21927_SPLENIC_VS_TUMOR_MONOCYTES_FROM_C26GM_TUMOROUS_MICE_BALBC_DN",0.234945188616515,0,0,0.857959046619456
"GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP",0.261637334241338,0,0,0.740554613890531
"GSE21033_1H_VS_12H_POLYIC_STIM_DC_DN",0.295567197319388,0,0,0.732992240670622
"GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN",0.254404358408142,0,0,0.819971679336841
"GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_DN",-0.316409127854899,0,0,1
"GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_DN",0.246151394724564,0,0,0.875946667769664
"GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_DN",-0.343296681427044,0,0,1
"GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN",0.266445789862949,0,0,0.789491185249038
"GSE25123_WT_VS_PPARG_KO_MACROPHAGE_DN",0.27505018701789,0,0,0.745429388199184
"GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_6H_DN",-0.341284440738423,0,0,1
"GSE25677_MPL_VS_R848_STIM_BCELL_DN",0.230225345814726,0,0,0.981781641782166
"GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_UP",-0.352191540829943,0,0,1
"GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",-0.331204904073008,0,0,1
"GSE33425_CD161_INT_VS_NEG_CD8_TCELL_UP",0.224549035177537,0,0,0.946246711156263
