"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",-0.34752266535915,0,0,NA
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP",-0.391759658483884,0,0,NA
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.158256746256136,0,0,NA
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",0.237109102648954,0,0,NA
"GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN",-0.348230422183992,0,0,NA
"GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP",-0.360425779974288,0,0,NA
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP",-0.360628923664378,0,0,NA
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP",-0.360362373932396,0,0,NA
"GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_DN",-0.361609308243752,0,0,NA
"GSE14308_TH1_VS_TH17_DN",0.182922421030734,0,0,NA
"GSE14308_TH1_VS_NAIVE_CD4_TCELL_UP",-0.361205096907396,0,0,NA
"GSE14308_TH17_VS_INDUCED_TREG_UP",-0.375794734123229,0,0,NA
"GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN",0.199039364069929,0,0,NA
"GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN",0.190603695309567,0,0,1
"GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN",-0.345317297727291,0,0,NA
"GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN",-0.356924627959591,0,0,NA
"GSE17721_CTRL_VS_LPS_0.5H_BMDM_DN",-0.394807414363646,0,0,NA
"GSE17721_CTRL_VS_LPS_8H_BMDM_DN",0.178279234629597,0,0,NA
"GSE17721_CTRL_VS_CPG_0.5H_BMDM_DN",-0.351908192470574,0,0,NA
"GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDM_DN",-0.349415288576002,0,0,NA
"GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP",-0.391364347053811,0,0,NA
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN",0.251415900274465,0,0,NA
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN",0.205070641250177,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN",0.168064288392414,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN",0.215894860806162,0,0,NA
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP",-0.376880808038816,0,0,NA
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",0.192702369305399,0,0,1
"GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN",-0.390140699535265,0,0,NA
"GSE20715_0H_VS_48H_OZONE_LUNG_DN",0.18634080236204,0,0,NA
"GSE22886_NAIVE_VS_MEMORY_TCELL_UP",-0.358999306907421,0,0,NA
"GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_DN",-0.36285346700173,0,0,NA
"GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_DN",0.191059017613532,0,0,NA
"GSE27786_LSK_VS_NEUTROPHIL_UP",-0.36018363054086,0,0,NA
"GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP",-0.414249547654059,0,0,NA
"GSE27786_NKTCELL_VS_ERYTHROBLAST_DN",0.172616258295746,0,0,1
"GSE27786_NEUTROPHIL_VS_MONO_MAC_UP",-0.369568396465522,0,0,NA
"GSE28237_EARLY_VS_LATE_GC_BCELL_DN",-0.382051978303461,0,0,NA
"GSE29618_MONOCYTE_VS_MDC_DN",0.153469366070192,0,0,1
"GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP",0.170235399874704,0,0,1
"GSE32423_IL7_VS_IL7_IL4_MEMORY_CD8_TCELL_UP",0.180402131644389,0,0,1
"GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN",0.171268196925387,0,0,1
