"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",0.233290029365345,0,0,NA
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",0.248691620622872,0,0,NA
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",0.328628914829078,0,0,NA
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP",0.227002228087013,0,0,1
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",0.350595626935157,0,0,1
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",0.202183381827976,0,0,1
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.354069194668435,0,0,NA
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP",0.229525592627265,0,0,1
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.241822486739353,0,0,NA
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.288120973026537,0,0,NA
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.276969468484606,0,0,NA
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.174517841388323,0,0,NA
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.225567049882897,0,0,NA
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",-0.390953453174947,0,0,NA
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.219260590840469,0,0,NA
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN",0.298962519343313,0,0,NA
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP",-0.378856890431791,0,0,NA
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN",0.206624152785462,0,0,NA
"GSE10325_CD4_TCELL_VS_BCELL_DN",0.296016014482892,0,0,NA
"GSE10325_CD4_TCELL_VS_MYELOID_DN",0.341623065079382,0,0,NA
"GSE10325_BCELL_VS_MYELOID_DN",0.215236563533166,0,0,1
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",0.269993952776978,0,0,NA
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",0.288841308898421,0,0,NA
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN",0.316787680145577,0,0,NA
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.309448798064306,0,0,NA
"GSE10325_MYELOID_VS_LUPUS_MYELOID_DN",0.289742238900939,0,0,NA
"GSE11057_CD4_EFF_MEM_VS_PBMC_DN",0.218642998129249,0,0,NA
"GSE11057_CD4_CENT_MEM_VS_PBMC_DN",0.242072775970974,0,0,NA
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",0.321025132172431,0,0,NA
"GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN",-0.344255876600732,0,0,NA
"GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP",0.222195452611614,0,0,NA
"GSE11924_TFH_VS_TH17_CD4_TCELL_DN",0.199741899631235,0,0,NA
"GSE11924_TH1_VS_TH2_CD4_TCELL_DN",0.198899427012928,0,0,1
"GSE12366_GC_VS_NAIVE_BCELL_UP",0.267074503855619,0,0,NA
"GSE12366_GC_VS_MEMORY_BCELL_UP",0.254002723211115,0,0,NA
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP",-0.387538634220964,0,0,NA
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",0.237703329665034,0,0,1
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN",-0.347539525113851,0,0,NA
"GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",0.231661792408189,0,0,NA
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN",0.226995029354715,0,0,NA
"GSE13411_NAIVE_VS_MEMORY_BCELL_DN",-0.368999316189477,0,0,NA
"GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_DN",0.220436352573494,0,0,1
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN",0.290291414145179,0,0,NA
"GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP",0.226190713024447,0,0,1
"GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN",-0.379438276730984,0,0,NA
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN",0.410713931718702,0,0,NA
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.393815298818836,0,0,NA
"GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN",0.391020447757849,0,0,NA
"GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.450702891415093,0,0,NA
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_UP",-0.435189238552355,0,0,NA
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN",0.490177205960628,0,0,NA
"GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.290974324744234,0,0,NA
"GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP",0.215956030733347,0,0,NA
