Locus,Start,End,Chr
CCL2,32582296,32584220,17
CCL13,32683471,32685629,17
CCL7,32597235,32599261,17
CCL8,32646066,32648421,17
CCL4,34431220,34433014,17
CCL3,34415603,34417506,17
CCL3L1,34522268,34524156,17
CCL5,34198496,34207377,17
CCL23,34340097,34345005,17
CCL14,34310692,34313764,17
CCL15,34324618,34329084,17
CCL16,34303535,34308523,17
CCL11,32612687,32615199,17
CCL1,32687399,32690252,17
CCL18,34391643,34398841,17
ERBB2,37856254,37884915,17
CCL3L3,34623842,34625716,17
TIGIT,114012154,114029135,3
PDCD1,242792033,242801058,2
GZMB,25100161,25103432,14
CD274,5450503,5470567,9
PDCD1LG2,5510545,5571282,9
STAT3,40465343,40540513,17
JAK2,4985245,5128183,9
