sample,ploidy,tissue,CD274,PDCD1LG2,diff PDL1/2 to ploidy
N_BC_1,2,DCIS,2,2,0
N_BC_2,2,DCIS,2,2,0
N_BC_3,2,DCIS,2,2,0
N_BC_4,2,DCIS,2,2,0
N_BC_5,2,DCIS,2,2,0
N_BC_6,2,DCIS,2,2,0
N_BC_7,2,DCIS,2,2,0
N_BC_8,2,DCIS,1,1,-1
N_BC_9,2,DCIS,2,2,0
N_BC_10,2,DCIS,2,2,0
N_BC_11,2,DCIS,2,2,0
N_BC_12,2,DCIS,2,2,0
N_BC_13,2,DCIS,2,2,0
N_BC_14,2,DCIS,2,2,0
N_BC_15,2,DCIS,2,2,0
N_BC_16,2,DCIS,2,2,0
N_BC_17,2,DCIS,2,2,0
N_BC_18,4,DCIS,3,3,-1
N_BC_19,4,DCIS,2,2,-2
N_BC_20,2,DCIS,2,2,0
N_BC_21,2,DCIS,1,1,-1
N_BC_22,3,DCIS,3,3,0
N_BC_23,2,DCIS,2,2,0
N_BC_24,2,DCIS,2,2,0
N_BC_25,2,DCIS,2,2,0
N_BC_26,2,DCIS,2,2,0
N_BC_27,4,DCIS,4,4,0
N_BC_28,3,DCIS,4,4,1
N_BC_29,4,DCIS,4,4,0
N_BC_30,2,DCIS,1,1,-1
N_BC_31,3,DCIS,2,2,-1
N_BC_32,2,DCIS,2,2,0
N_BC_33,2,IDC,2,2,0
N_BC_34,2,DCIS,2,2,0
N_BC_35,2,DCIS,2,2,0
N_BC_36,2,IDC,2,2,0
N_BC_37,2,IDC,2,2,0
N_BC_38,2,IDC,2,2,0
N_BC_39,2,DCIS,2,2,0
N_BC_40,2,IDC,2,2,0
N_BC_41,2,IDC,2,2,0
N_BC_42,4,DCIS,3,3,-1
N_BC_43,2,IDC,2,2,0
N_BC_44,4,IDC,3,3,-1
N_BC_45,3,IDC,2,2,-1
N_BC_46,2,DCIS,3,3,1
N_BC_47,2,DCIS,2,2,0
N_BC_48,2,IDC,2,2,0
N_BC_49,2,IDC,2,2,0
N_BC_50,2,IDC,2,2,0
N_BC_51,2,IDC,2,2,0
N_BC_52,3,IDC,3,3,0
N_BC_53,2,DCIS,2,2,0
N_BC_54,2,IDC,2,2,0
N_BC_55,2,IDC,2,2,0
N_BC_56,2,IDC,2,2,0
N_BC_57,2,DCIS,2,2,0
N_BC_58,2,IDC,2,2,0
N_BC_59,2,DCIS,2,2,0
N_BC_60,2,IDC,2,2,0
N_BC_61,2,DCIS,2,2,0
N_BC_62,2,IDC,2,2,0
N_BC_63,2,DCIS,2,2,0
N_BC_64,2,DCIS,2,2,0
N_BC_65,4,IDC,3,3,-1
N_BC_66,2,DCIS,2,2,0
N_BC_67,2,IDC,2,2,0
N_BC_68,2,IDC,2,2,0
N_BC_69,2,IDC,1,1,-1
N_BC_70,2,DCIS,2,2,0
N_BC_71,3,IDC,3,3,0
N_BC_72,2,IDC,2,2,0
N_BC_73,2,DCIS,2,2,0
N_BC_74,2,DCIS,2,2,0
N_BC_75,2,IDC,2,2,0
N_BC_76,2,IDC,2,2,0
N_BC_77,4,IDC,4,4,0
N_BC_78,2,IDC,2,2,0
N_BC_79,2,DCIS,2,2,0
N_BC_80,2,IDC,2,2,0
N_BC_81,2,IDC,2,2,0
N_BC_82,2,DCIS,2,2,0
N_BC_83,4,DCIS,4,4,0
N_BC_84,2,IDC,1,1,-1
N_BC_85,2,DCIS,2,2,0
N_BC_86,2,DCIS,2,2,0
N_BC_87,2,IDC,2,2,0
N_BC_88,2,DCIS,2,2,0
N_BC_89,4,DCIS,4,4,0
N_BC_90,2,DCIS,1,1,-1
N_BC_91,2,DCIS,2,2,0
N_BC_92,2,DCIS,2,2,0
N_BC_93,2,DCIS,2,2,0
N_BC_94,2,IDC,2,2,0
N_BC_95,3,IDC,2,2,-1
N_BC_96,2,IDC,1,1,-1
N_BC_97,4,IDC,2,2,-2
N_BC_98,4,DCIS,3,3,-1
N_BC_99,2,DCIS,2,2,0
N_BC_100,2,IDC,2,2,0
N_BC_101,2,IDC,1,1,-1
N_BC_102,2,DCIS,1,1,-1
N_BC_103,2,IDC,3,3,1
N_BC_104,2,IDC,2,2,0
N_BC_105,2,IDC,2,2,0
N_BC_106,3,IDC,6,6,3
N_BC_107,3,IDC,2,2,-1
N_BC_108,3,DCIS,4,4,1
N_BC_109,2,IDC,3,3,1
N_BC_110,2,DCIS,2,2,0
N_BC_111,2,DCIS,2,2,0
N_BC_112,2,DCIS,2,2,0
N_BC_113,4,IDC,4,4,0
N_BC_114,2,IDC,2,2,0
N_BC_115,3,IDC,2,2,-1
N_BC_116,4,IDC,3,3,-1
N_BC_117,3,IDC,4,4,1
N_BC_118,4,IDC,4,4,0
N_BC_119,2,IDC,2,2,0
N_BC_120,2,IDC,2,2,0
N_BC_121,4,IDC,4,4,0
N_BC_122,2,IDC,1,1,-1
N_BC_123,2,IDC,2,2,0
N_BC_124,4,IDC,3,3,-1
N_BC_125,2,IDC,2,2,0
N_BC_126,2,IDC,2,2,0
N_BC_127,2,IDC,1,1,-1
N_BC_128,4,IDC,4,4,0
N_BC_129,3,IDC,6,6,3
N_BC_130,2,IDC,5,5,3
N_BC_131,2,IDC,2,2,0
